순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
1,(사)한국장애인사회복지회사회복지부,경상남도 창원시 진해구 웅천동로 204 (성내동),구조용 금속 판제품 및 공작물 제조업 외 1 종,"울타리,난간",055-547-1438,30331301438
2,(윈펠)WINPELL,경상남도 창원시 성산구 연덕로27번길 60 (웅남동),전투용 차량 제조업,차륜형 장갑차 휠(림/디스크),055-271-7772,055-261-7774
3,(유)국제보링1급정비,경상남도 창원시 마산회원구 내서읍 중리공단로 149 (현대자동차서비스),자동차 구조 및 장치 변경업  외 1 종,자동차정비,055-232-4442,055-232-3663
4,(유)두루산업사,"경상남도 창원시 마산회원구 봉암공단9길 10 (봉암동, (유)두루산업사)",공기 조화장치 제조업 외 2 종,"생산품 가습기, 차아염소산수 제조장치",055-251-3040,055-251-4619
5,(유)리앤리테크,경상남도 창원시 성산구 반월로 16 (신촌동) 외 2필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,055-603-3106,055-603-3114
6,(유)범아산전,경상남도 창원시 의창구 태복산로7번길 1 (도계동),배전반 및 전기 자동제어반 제조업,전기제어부분품 ,055-277-0061,055-277-0062
7,(유)삼송 창원공장,경상남도 창원시 성산구 정동로62번길 30 (성주동) (총 2 필지) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 안전밸브,055-284-8661,055-284-8660
8,(유)송원산업,경상남도 창원시 마산합포구 진북면 망곡리 83-3번지,선박 구성 부분품 제조업,선박의장부품,055-271-8791,
9,(유)신신1급자동차정비,경상남도 창원시 마산회원구 내서읍 중리공단로 165 (신신1급자동차정비),건설 및 채광용 기계장비 제조업,운수장비수선(수리업),055-231-5800,055-231-6812
10,(유)티에스,경상남도 창원시 의창구 차룡단지로 75-2 (팔용동),절삭가공 및 유사처리업,캠가공 외 항공기 부품,055-276-9281,055-288-9281
11,(유)현대기공,경상남도 창원시 마산합포구 진북면 산단2길 66,볼트 및 너트류 제조업 외 8 종,"볼트,너트,유압밸브,유압실린더부품,유압MCV블럭",055-286-9400,055-286-9440
12,(유)화진스틸,경상남도 창원시 마산회원구 내서읍 중리공단로 31,그 외 기타 1차 철강 제조업,철판절단품,055-232-3990,055-232-3992
13,(유)화진철강,경상남도 창원시 마산회원구 내서읍 중리공단로 35,그 외 기타 1차 철강 제조업,철판절단품,055-232-3990,055-232-3992
14,(주) 미래테크원,"경상남도 창원시 마산회원구 봉암공단7길 19 (봉암동, 주택)",그 외 기타 전자부품 제조업 외 1 종,전자부품(하네스),055-299-3163,055-299-3164
15,(주) 아이엔테크,경상남도 창원시 마산회원구 봉암공단4길 165 (봉암동),그 외 기타 전기장비 제조업,자동화세척기,055-267-5340,055-267-5350
16,(주) 영창기업,"경상남도 창원시 마산회원구 봉암공단로 59-17 (봉암동, 영창)",배전반 및 전기 자동제어반 제조업,공작기계 부품,055-297-7995,055-297-9090
17,(주) 은성,"경상남도 창원시 마산회원구 회원동16길 47, 2층 (회원동, 동북산업)",컴퓨터 제조업,컴퓨터 부품,055-275-1722,055-275-5682
18,(주) 제이에이치테크,경상남도 창원시 마산회원구 봉암공단5길 12 (봉암동) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품, 유압부품",055-296-0125,055-298-0965
19,(주) 창성케미칼,경상남도 창원시 마산회원구 내서읍 중리공단로3길 28 (내서읍),"플라스틱 포대, 봉투 및 유사제품 제조업",쓰레기봉투,,055-232-3884
20,(주) 창원건드릴,경상남도 창원시 마산회원구 봉암공단5길 70 (봉암동),절삭가공 및 유사처리업,금속절삭공구,055-287-7231,055-287-7232
21,(주) 케이.에스.엠,경상남도 창원시 진해구 웅천서로41번길 20 (제덕동),디지털 적층 성형기계 제조업 외 1 종,동파이프연결부품,055-545-3371,055-286-3374
22,(주) 피에스이,경상남도 창원시 마산회원구 봉암공단5길 42-32 (봉암동),배전반 및 전기 자동제어반 제조업,전기판넬,055-256-6880,055-284-6880
23,(주)3디나라,"경상남도 창원시 마산회원구 봉암북7길 21, 3동302호 (봉암동, 경남지능형홈산업화센터)",산업용 로봇 제조업,3D 플린트,055-264-8598,050-4189-4936
24,(주)ACE전자,"경상남도 창원시 마산합포구 진북면 진북산업로 613, B동) (진북면)",그 외 기타 전기장비 제조업,"ABS수지, 활성탄",055-271-9953,055-271-9380
25,(주)DH케미칼,"경상남도 창원시 성산구 성주로137번길 3 (남산동, 동호물산(주)) 외 1필지",윤활유 및 그리스 제조업 외 3 종,윤활유(금속가공유),055-283-3241,055-283-3245
26,(주)HIMC,"경상남도 창원시 마산회원구 봉암공단4길 70, (봉암동472-2)외 1필지 (봉암동)",유압기기 제조업,유압기계부품,055-253-3050,055-297-2662
27,(주)KMT,경상남도 창원시 의창구 팔용로345번길 17 (팔용동),금속 절삭기계 제조업,공작기계용 스핀들,055-297-8101,055-297-8104
28,(주)MH에탄올,경상남도 창원시 마산회원구 내서읍 광려천남로 25 (엠에이치에탄올) 외 3필지,주정 제조업 외 2 종,"주정 탄산가스, 건조주정막(건조사료)",055-231-0701,055-231-1282
29,(주)NNA,경상남도 창원시 성산구 곰절길18번길 3 (성주동),기타 가공 공작기계 제조업,공장자동화 설비,055-267-2673,055-267-2675
30,(주)VOLK,경상남도 창원시 의창구 죽전로 85 (팔용동),기타 기관 및 터빈 제조업 외 18 종,"냉각기,탭핑머신,브레이크머신,전자회로카드조립체,엔코드박스아세이,칩마운터 등",055-299-0536,055-299-0536
31,(주)VOLK,경상남도 창원시 성산구 곰절길28번길 2 (성주동) 외 1필지,반도체 제조용 기계 제조업 외 1 종,"정밀가공품, SMT용 헤드 및 컨베이어",055-299-0536,055-299-0538
32,(주)가도정밀,경상남도 창원시 의창구 북면 월백리 10-2번지 외 1필지,주형 및 금형 제조업,자동차부품 금형,055-298-1084,055-298-1085
33,(주)가림,"경상남도 창원시 마산회원구 내서읍 신평안길 13, 2층",커튼 및 유사제품 제조업,"롤스크린, 무대막",055-232-2131,050-2266-2521
34,(주)가림정공,경상남도 창원시 의창구 대산면 주남로 442-12,절삭가공 및 유사처리업,휴대폰 및 가전 전기부품,070-7768-9678,055-255-9679
35,(주)가본,경상남도 창원시 마산회원구 자유무역3길 59 (양덕동),철도차량 부품 및 관련 장치물 제조업,"철도차량용밸브, 필터, 설비부품",055-251-7441,55251744
36,(주)가속,경상남도 창원시 마산합포구 진북면 산단2길 46-39,육상 금속 골조 구조재 제조업 외 3 종,"형강류, pipe류 등",070-4888-4171,070-8270-4176
37,(주)가야산업,경상남도 창원시 마산회원구 내서읍 중리공단로 39 (가야산업전기),"전기회로 개폐, 보호장치 제조업 외 2 종","전기회로 개폐, 보호 및 접속장치 등",055-231-6470,
38,(주)가야엔지니어링,경상남도 창원시 마산회원구 내서읍 용담로 77 (가야엔지니어링),육상 금속 골조 구조재 제조업 외 2 종,철구조물,055-232-6635,055-232-6645
39,(주)가야지앤이,"경상남도 창원시 의창구 창원대로18번길 22, 벤처동 404호 (팔용동, 경남테크노파크)",포장용 플라스틱 성형용기 제조업 외 1 종,쓰레기통,055-242-8921,055-223-8948
40,(주)가온텍,"경상남도 창원시 의창구 평산로 37 (팔용동, KPE)",기타 직물제품 제조업,"면마스크, 부직포 마스크",055-274-7777,
41,(주)가유,경상남도 창원시 마산회원구 자유무역3길 143 (양덕동),기어 및 동력전달장치 제조업 외 6 종,산업용로봇 부품 및 자동차용 정밀 부품,055-252-1701,055-252-1709
42,(주)가현,경상남도 창원시 의창구 평산로38번길 13 (팔용동),건설 및 채광용 기계장비 제조업,"조선기자재, 중장비부품",055-295-3261,055-295-3260
43,(주)가현,경상남도 창원시 의창구 평산로38번길 13 (팔용동),건설 및 채광용 기계장비 제조업,"조선기자재, 중장비부품",055-295-3261,055-295-3260
44,(주)강림기계,경상남도 창원시 마산회원구 봉암공단4길 155 (봉암동),선박 구성 부분품 제조업 외 3 종,선박 및 자차용 엔진부품,055-297-7977,055-294-5815
45,(주)강림테크,경상남도 창원시 성산구 공단로 228-32 (웅남동),내연기관 제조업 외 38 종,"내연가관부품(방산품),기체펌프,탭,밸브 외",055-297-7970,055-294-5815
46,(주)강민,경상남도 창원시 마산합포구 진동면 입곡길 98-34 (주식회사강민),기타 과실ㆍ채소 가공 및 저장 처리업,채소가공,055-1599-1007,055-272-0574
47,(주)강운테크,경상남도 창원시 마산회원구 봉암공단4길 161 (봉암동),액체 펌프 제조업 외 1 종,펌프부품,055-275-5300,055-586-2180
48,(주)강테크,경상남도 창원시 성산구 반월로 61-28 (신촌동),그 외 기타 일반목적용 기계 제조업,"항공, 선박부품, 치공구, 검사구",055-262-5244,055-262-5245
49,(주)거송,"경상남도 창원시 성산구 정동로62번길 30 (성주동, (주)삼송)",자동차용 금속 압형제품 제조업 외 1 종,자동차안전벨트부품(버클),055-1710-5450,050-4469-7062
50,(주)건영메탈,경상남도 창원시 마산회원구 내서읍 신평로 9-3 (명건산업),구조용 금속 판제품 및 공작물 제조업,건축흡음제,055-231-0980,055-232-6811
51,(주)건영정밀,경상남도 창원시 성산구 월림로 71-7 (신촌동),주형 및 금형 제조업,금형가공,055-287-8836,055-287-8806
52,(주)건화 ,경상남도 창원시 마산합포구 진북면 산단1길 99,건설 및 채광용 기계장비 제조업,중장비부품,055-240-9022,055-240-9299
53,(주)건화 창원공장,경상남도 창원시 마산합포구 진북면 산단1길 129,건설 및 채광용 기계장비 제조업 외 3 종,중장비 부품 외,055-240-9000,055-240-9299
54,(주)건화기업,경상남도 창원시 성산구 적현로 144 (신촌동),도장 및 기타 피막처리업,"조선기자재, 플랜트도장제품",055-263-4200,055-263-8199
55,(주)경남산기,경상남도 창원시 의창구 대산면 주남로503번길 18,육상 금속 골조 구조재 제조업 외 1 종,"차단기,변압기부품",055-299-3486,055-299-3487
56,(주)경남신문사,"경상남도 창원시 성산구 중앙대로210번길 3 (신월동, 경남신문사)",신문 발행업,신문,055-210-6162,
57,(주)경남엘케이호이스트,경상남도 창원시 성산구 반월로 71-3 (신촌동),기타 물품 취급장비 제조업,크레인 제조,,055-276-3496
58,(주)경남정밀,경상남도 창원시 성산구 연덕로27번길 64 (웅남동),절삭가공 및 유사처리업,기계부품가공,,055-266-0728
59,(주)경남통신기술,경상남도 창원시 의창구 팔용동 23-7번지 신화테크노밸리지식산업센터 509호,방송장비 제조업 외 2 종,방송장비,055-252-8556,055-252-8557
60,(주)경남통신기술,"경상남도 창원시 마산회원구 봉암북7길 21, 산업융합센터 5동 505호 (봉암동)",방송장비 제조업 외 2 종,"CCTV용품, 유무선설비, 앰프",055-252-8556,055-252-8557
61,(주)경동기계,경상남도 창원시 마산합포구 진북면 대티3길 30,자동차용 금속 압형제품 제조업 외 3 종,포탄 및 기계가공부품,055-271-4312,
62,(주)경민전자,경상남도 창원시 의창구 차상로 172-15 (팔용동),기타 가정용 전기기기 제조업,전자부품조립,055-283-4843,
63,(주)경부금속,"경상남도 창원시 마산회원구 봉암공단로 59-34 (봉암동, 경부금속)",도금업,도금,055-255-6860,055-255-6861
64,(주)경서에너지,경상남도 창원시 마산회원구 내서읍 광려천남로 125 ((주)경서에너지),도장 및 기타 피막처리업,가스용기 도장품,055-232-8891,055-232-8890
65,(주)경성엠티,"경상남도 창원시 의창구 차룡로 6 (팔용동, (주)경성엠티)",전투용 차량 제조업 외 44 종,"특수차량부품,에어콘부품",055-294-1671,055-294-1625
66,(주)경성테크윈,"경상남도 창원시 성산구 완암로 50, 넥스동 10층 1005호(성산동, SK테크노파크) 넥스동 10층 1005호",배전반 및 전기 자동제어반 제조업 외 4 종,"배전반, 계장제어장치",,
67,(주)경신,경상남도 창원시 마산합포구 진북면 연동로 119 (총 4 필지) 외 3필지,레미콘 제조업,레미콘,055-271-1980,055-271-0966
68,(주)경신 2공장,경상남도 창원시 마산합포구 진북면 연동로 154 외 1필지,비금속광물 분쇄물 생산업,"골재, 모래",,
69,(주)경신플러스,"경상남도 창원시 성산구 완암로 3, 6동 1층 6호 (웅남동)",절삭가공 및 유사처리업,CHUCH&FLXTURE,055-251-4524,055-251-4521
70,(주)경우정공,"경상남도 창원시 진해구 남의로43번길 11 (남양동, (주)경우정공)",절삭가공 및 유사처리업,산업기기,055-551-6997,055-551-2999
71,(주)경은이엠티,경상남도 창원시 마산회원구 자유무역3길 19 (양덕동),기타 절연선 및 케이블 제조업 외 2 종,"전동기, 발전기, 절연선, 탄소제품 등",055-232-9335,
72,(주)경인테크,경상남도 창원시 의창구 팔용로371번길 6 (팔용동),무기 및 총포탄 제조업 외 9 종,"방산정밀부품, 구동기",055-263-5405,055-263-5408
73,(주)경일금속 창원공장,경상남도 창원시 마산합포구 진북면 진북신촌로 158,그 외 기타 금속가공업,조선기자재,051-831-1667,051-831-1669
74,(주)경일웰드텍,경상남도 창원시 성산구 연덕로15번길 64 (웅남동),그 외 기타 금속가공업,차륜형 장갑차 부품 외,055-285-0886,5852860855
75,(주)경일전장,"경상남도 창원시 성산구 완암로 50, 테크동 7층 712호 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,자동제어 판넬,055-288-3829,055-238-6620
76,(주)경일테크,경상남도 창원시 의창구 대산면 주남로400번길 36 (세송스핀들),인쇄 및 제책용 기계 제조업,인쇄기,,
77,(주)경한코리아,"경상남도 창원시 의창구 차상로 172-18 (팔용동, 주식회사경한정밀)",그 외 자동차용 신품 부품 제조업 외 3 종,자동차 부품,055-237-2828,055-237-9662
78,(주)경한코리아,경상남도 창원시 성산구 공단로 424 (성산동),그 외 자동차용 신품 부품 제조업 외 4 종,"밸브 스풀, 산화피막처리",055-237-2828,055-237-9662
79,(주)고구려,경상남도 창원시 마산합포구 진동면 태봉1길 215-1 외 1필지,선박 구성 부분품 제조업,선박부품,055-224-4161,
80,(주)고려기업,"경상남도 창원시 성산구 반월로 37 (신촌동, (주)고려기업) 외 1필지",금속선 가공제품 제조업,WIRE ROPE SUNG,055-286-7477,055-286-7478
81,(주)고려스틸,경상남도 창원시 마산합포구 진북면 산단1길 45,자동차용 금속 압형제품 제조업,철강재 절단가공품,055-295-4111,055-247-7069
82,(주)고려와이어,경상남도 창원시 마산회원구 자유무역5길 27 (봉암동),그 외 자동차용 신품 부품 제조업 외 4 종,자동차용 케이블 및 의료용 케이블,055-286-7477,055-286-7478
83,(주)고려이노테크,경상남도 창원시 마산합포구 진북면 망곡리 421-1번지,축전지 제조업 외 1 종,2차전지 부품,055-242-6196,055-245-3123
84,(주)고려이노테크,경상남도 창원시 마산합포구 진전면 팔의사로 495 (진전면) 외 1필지,스크린 인쇄업 외 1 종,휴대폰밧데리부품,055-242-6196,055-245-3123
85,(주)고려철강,경상남도 창원시 마산합포구 진북면 산단1길 45,자동차용 금속 압형제품 제조업 외 1 종,자동차 및 기계부품 철강,055-295-4111,050-295-4114
86,(주)골드테크,경상남도 창원시 진해구 웅천서로41번길 28 (제덕동),전기용 탄소제품 및 절연제품 제조업 외 4 종,"진공챔버, 산업기계부품가공",055-283-9150,055-286-9150
87,(주)과학기술분석센타앤성산,경상남도 창원시 성산구 공단로21번길 50 (신촌동),"물질 검사, 측정 및 분석기구 제조업","대기환경측정장비 제작, 조립",055-261-1157,055-261-1157
88,(주)광진기공,경상남도 창원시 의창구 북면 백월로143번길 1,절삭가공 및 유사처리업,자동차금형 부품,055-276-3403,055-286-3403
89,(주)교차로신문,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 6층 601호,무인 항공기 및 무인 비행장치 제조업 외 1 종,무인항공기(드론)제조,055-250-7065,
90,(주)구구,"경상남도 창원시 성산구, 불모산로66번길 26 (불모산동)",배전반 및 전기 자동제어반 제조업 외 2 종,"프로그램내장컨트롤러,광케이블,견마로봇제어장치",055-211-9999,
