구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력개월수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H128202107071973,남,74,J00106,고등학교,서울,강북구,서울,,814001,산업용 냉난방 설비 조작원,6,0,6년0월,J03402,승인,,,,,,15:29.0,15:34.0
H309202107071965,남,87,J00100,관계없음,서울,강북구,,,561100,청소원,,,신입,J03402,승인,,,,,,05:55.0,05:59.0
H110202107071953,여,68,J00100,관계없음,서울,서초구,서울,강남구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,57:27.0,57:30.0
H318202107071951,남,30,J00106,고등학교,서울,금천구,,,622301,경?소형 화물차 운전원,,,신입,J03402,승인,,,,,,51:30.0,51:33.0
H129202107071950,여,66,J00106,고등학교,서울,송파구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03402,승인,,,,,,51:25.0,51:29.0
H108202107071928,여,63,J00106,고등학교,서울,서대문구,서울,,25500,공공행정 사무원,0,5,0년5월,J03402,승인,,,,,,43:12.0,43:19.0
H129202107071902,남,69,J00106,고등학교,서울,송파구,서울,강동구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,38:42.0,38:46.0
H309202107071901,여,68,J00101,무학력,서울,강북구,서울,,561100,청소원,2,5,2년5월,J03402,승인,,,,,,36:33.0,36:36.0
H314202107071900,여,54,J00110,대학_대학교,서울,마포구,,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,34:42.0,34:45.0
H129202107071899,남,63,J00106,고등학교,서울,송파구,서울,강동구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),10,0,10년0월,J03402,승인,,,,,,33:48.0,33:52.0
H127202107071898,남,71,J00106,고등학교,서울,광진구,경기,구리시,624102,지하철 택배원,2,0,2년0월,J03402,승인,,,,,,33:09.0,33:11.0
